id,duration,"cnd(1=Riot,2=Msscr.,3=Evnt)",violence.b,violence.p,violence.w,harm.b,harm.p,harm.w,blame.b,blame.p,blame.w,check1,caused.b,caused.p,caused.w,intention.b,intention.p,intention.w,punish.b,punish.p,punish.w,check2,permissible.b,permiss.p,permiss.w,allow-commit.b,allow-commit.p,allow-commit.w,knew.b,knew.p,knew.w,should.b,should.p,should.w,could.b,could.p,could.w,reparation,priorknowledge,allow,gender,age
19,528,3,2,6,6,2,6,6,4,7,7,0,3,5,5,4,4,4,2,6,5,1,2,5,5,2,6,6,4,6,4,4,7,4,1,7,6,100000,1,1,1,
93,829,3,3,7,7,7,2,1,1,7,6,1,3,6,7,1,5,7,1,7,7,1,1,7,7,4,1,7,5,3,5,2,7,4,2,7,4,100000,1,1,2,18
6,503,2,4,4,7,7,4,4,7,1,1,1,1,4,7,1,1,7,1,4,7,1,7,1,1,4,1,7,4,7,7,1,7,7,1,7,7,100000,1,1,1,22
7,509,3,4,6,6,7,3,3,6,2,2,1,2,4,6,2,4,6,2,5,6,1,3,5,6,2,6,6,6,4,5,2,6,5,2,6,6,100000,1,1,1,21
110,558,1,6,1,2,7,1,1,7,1,1,1,3,7,5,1,6,5,6,1,1,1,4,6,6,5,1,7,1,7,6,4,7,7,1,7,4,100000,1,1,2,20
74,579,3,2,4,6,3,4,6,7,2,1,1,3,4,7,1,2,7,2,5,7,1,1,5,7,1,5,6,1,2,6,6,7,6,6,7,5,100000,1,1,2,19
44,597,3,7,1,3,7,2,4,7,1,1,0,7,5,7,5,4,7,3,4,6,1,7,4,1,4,5,6,2,2,5,2,7,3,4,7,5,100000,2,1,1,19
55,600,2,3,5,6,7,2,3,1,7,7,1,3,6,7,1,3,4,2,5,6,1,1,5,6,1,5,6,3,7,7,4,7,6,1,7,6,100000,1,1,1,18
94,603,2,1,6,7,1,5,7,1,5,7,0,1,6,7,2,5,7,1,6,7,1,2,5,7,4,2,7,2,5,5,1,7,7,1,7,7,100000,1,1,2,19
176,606,3,5,2,7,7,1,1,7,1,2,1,1,4,7,1,2,7,1,5,7,1,2,5,7,4,1,7,7,7,7,7,7,7,1,7,7,100000,1,1,2,18
151,608,3,5,5,5,5,3,5,5,3,4,1,5,4,5,5,4,3,3,4,4,1,2,6,6,5,4,3,4,5,3,5,4,3,5,4,3,100000,2,1,2,19
27,655,3,4,5,4,6,4,4,5,4,4,0,4,4,4,4,4,4,5,4,5,1,3,4,5,4,4,4,3,4,6,4,7,6,3,7,6,100000,2,1,1,19
182,660,2,3,4,7,2,4,7,1,3,7,0,1,3,7,1,2,7,1,1,7,1,1,2,7,3,1,7,1,3,7,1,7,7,2,7,7,100000,1,1,1,19
135,667,1,3,2,7,7,3,2,2,4,7,1,1,4,7,1,4,7,1,3,7,1,3,6,7,4,1,7,2,4,6,4,7,7,2,7,7,100000,1,1,1,21
25,691,1,2,1,7,7,4,3,1,7,7,1,1,4,7,1,4,7,1,4,7,1,1,7,7,4,1,7,5,5,7,1,7,1,1,7,7,100000,1,1,1,18
116,698,1,1,7,7,7,1,1,7,1,1,1,1,7,7,1,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,100000,1,1,2,36
165,716,1,1,1,7,1,4,7,1,6,7,1,1,3,7,1,2,7,1,2,7,1,1,3,7,1,3,7,2,5,7,1,7,7,2,7,7,100000,1,1,1,18
67,720,2,2,5,6,7,2,2,2,6,6,1,1,6,6,1,7,6,1,7,5,1,7,1,1,4,7,6,7,7,7,7,7,7,4,7,4,100000,2,1,2,19
107,726,1,4,7,4,7,2,2,2,6,7,1,1,6,7,1,5,7,1,6,7,1,1,6,7,4,1,7,1,4,7,2,7,2,1,7,7,100000,1,1,2,20
123,935,1,3,3,6,3,3,6,3,6,5,1,2,2,6,3,3,6,1,1,6,1,1,1,7,1,1,7,3,4,7,1,7,7,1,7,7,100000,2,1,1,18
179,947,3,1,3,7,7,1,1,1,7,7,0,1,6,7,1,5,7,1,6,7,1,1,6,7,4,2,7,1,4,6,1,7,7,1,7,7,100000,1,1,2,20
90,1157,3,2,4,7,7,4,2,1,5,7,1,4,5,4,3,4,7,7,1,1,1,1,3,7,1,7,7,1,1,1,1,7,5,1,7,7,100000,2,1,2,23
183,1243,3,2,7,7,7,2,2,2,4,6,1,1,4,7,1,5,7,1,5,7,1,2,5,7,4,1,7,3,3,5,1,7,5,1,7,5,100000,1,1,1,20
124,372,3,2,3,6,6,4,3,4,7,5,1,3,6,4,3,6,6,4,5,4,1,4,5,7,4,1,7,5,6,3,1,7,1,6,7,6,80000,1,1,2,19
144,465,2,4,3,7,7,5,2,7,5,2,1,3,4,7,3,4,7,2,3,7,1,3,5,7,4,6,7,5,6,6,4,7,6,3,7,7,75000,2,1,1,18
106,475,3,4,5,7,7,1,2,7,3,1,1,1,5,7,2,4,7,2,6,7,1,1,5,7,3,1,7,2,4,7,1,7,7,1,7,7,75000,1,1,1,19
33,512,2,4,3,7,7,2,1,1,4,7,1,1,4,7,1,4,7,1,6,7,1,1,7,7,4,1,7,3,5,7,1,7,6,1,7,6,75000,1,1,1,20
155,607,3,2,1,7,7,1,1,1,4,7,1,1,4,7,1,4,7,1,5,7,1,2,4,7,4,1,7,3,5,6,1,7,7,2,7,7,75000,1,1,1,19
170,723,3,5,6,7,7,5,5,4,7,7,1,2,6,7,2,7,7,1,7,7,1,2,7,7,2,7,7,1,4,4,4,6,6,1,7,7,75000,1,1,1,20
30,773,3,4,2,7,7,1,2,1,7,7,1,3,2,5,2,5,7,1,7,7,1,1,6,7,4,1,7,6,7,7,1,7,4,1,7,4,75000,1,1,1,20
108,694,2,3,3,6,6,4,3,1,3,5,0,2,4,5,1,2,6,3,2,6,1,2,2,6,2,3,6,1,2,4,3,6,6,3,7,6,65000,1,1,1,19
95,515,1,3,1,7,7,1,2,7,4,2,1,2,1,4,1,1,7,2,6,7,1,1,4,7,7,1,7,1,1,1,4,7,5,4,7,7,60000,1,1,2,18
63,966,1,6,3,6,7,3,4,4,5,6,0,6,5,7,5,2,6,5,3,6,1,7,4,7,4,3,5,3,3,7,5,7,5,5,6,6,60000,2,1,1,22
59,396,3,2,7,7,2,7,7,1,7,7,1,1,7,7,1,7,7,1,7,7,1,1,7,7,4,7,7,7,7,7,1,7,7,1,7,7,50000,2,1,2,18
78,421,1,3,5,7,7,3,2,4,5,5,0,4,3,5,4,3,6,3,5,6,1,3,5,5,3,5,6,5,4,5,4,7,6,5,7,7,50000,1,1,1,18
53,477,3,4,6,7,2,4,7,1,6,7,1,1,5,7,1,5,7,1,6,7,1,2,7,7,4,1,7,4,7,7,2,7,7,4,7,7,50000,1,1,1,19
112,512,2,4,5,7,7,4,1,7,1,4,1,1,5,7,1,5,7,7,1,1,1,2,5,7,4,6,7,7,7,7,4,7,4,2,7,7,50000,1,1,1,19
1,551,3,2,4,5,2,4,4,1,2,5,1,1,2,6,2,3,6,1,3,6,1,3,4,5,3,2,1,5,2,2,1,7,6,1,7,7,50000,1,1,1,20
48,558,2,5,6,7,7,4,2,6,4,3,1,4,1,7,1,4,7,3,4,6,1,4,4,7,3,2,6,3,2,5,7,7,7,2,6,6,50000,1,1,1,19
10,571,2,2,6,7,7,2,1,1,7,7,1,2,5,7,1,4,7,1,4,7,1,1,3,7,4,1,7,4,7,7,2,7,7,1,7,5,50000,1,1,1,18
120,593,1,1,6,7,7,1,1,7,4,1,1,1,5,7,1,7,7,1,7,7,1,7,7,1,1,7,7,4,7,7,1,7,7,2,7,5,50000,1,1,2,20
82,644,2,2,4,7,7,1,1,4,6,7,1,1,2,7,3,1,7,1,7,7,1,1,5,7,4,1,7,5,6,7,3,7,7,1,5,7,50000,1,1,1,18
129,711,3,2,3,7,2,5,7,1,6,7,1,2,4,7,3,4,4,1,6,6,1,4,4,7,4,1,7,4,6,5,7,7,7,1,7,6,50000,2,1,1,19
150,737,2,6,6,6,6,5,5,7,2,2,0,5,5,5,2,4,7,2,5,7,1,6,4,4,2,5,7,4,4,4,2,7,7,2,7,7,50000,2,1,1,20
113,791,1,5,4,6,5,4,6,6,5,7,0,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50000,2,1,1,18
34,798,1,7,7,7,7,4,4,2,7,7,1,2,7,7,1,4,7,1,7,7,1,2,7,7,4,1,7,4,2,6,2,7,2,2,7,7,50000,1,1,1,20
