Participant_ID,durinmin,CND1R2M3E,Black.violence,Police.violence,White.violence,Black.blame,Police.blame,White.blame,QA_Rowland.Raped.Paige11223IDK,Black.caused,Police.caused,White.caused,Black.intentionality,Police.intentionality,White.intentionality,Black.punishment,Police.punishment,White.punishment,Black.allowedcommitted,Police.allowedcommitted,White.allowedcommitted,Black.knew,Police.knew,White.knew,Black.should_prevent,Police.should_prevent,White.should_prevent,Black.could_prevent,Police.could_prevent,White.could_prevent,reparation.amount,prior_k2wledge1Y2N,allow_data_use1Y2N,gender1F2M3O4Pna,age_group1182253354455556657758na,ethnicity1asian2black3mix445other6pna
163,6,3,4,3,4,2,2,4,1,2,2,4,2,2,4,2,2,4,3,4,5,2,2,3,3,7,4,3,7,5, ,2,1,1,4,4
45,5,3,6,5,6,6,6,6,1,4,4,6,5,5,6,4,4,6,3,3,1,6,6,6,7,7,7,7,7,7,100000,2,1,2,2,1
80,5,2,3,6,6,1,6,6,2,2,6,7,2,6,6,1,7,6,7,2,2,1,4,5,1,6,6,1,6,6,100000,1,1,1,3,4
173,5,3,4,3,5,1,5,6,1,2,3,6,2,2,5,2,4,6,2,2,5,5,3,4,2,6,5,2,4,6,100000,2,1,2,3,4
177,5,3,2,5,7,1,5,7,1,1,5,7,1,5,6,1,4,6,4,3,2,1,4,5,1,4,5,1,7,7,100000,2,1,2,6,4
180,5,1,4,5,6,3,4,5,1,1,4,6,2,5,6,2,4,5,1,6,6,1,4,5,6,7,7,3,2,1,100000,2,1,1,5,4
276,5,3,3,4,6,4,5,5,2,4,4,5,3,5,6,4,5,6,4,5,6,4,5,6,4,7,6,5,5,6,100000,2,1,2,5,4
309,5,1,7,5,4,2,6,6,1,2,6,6,2,5,7,3,7,6,5,5,6,5,6,6,3,7,6,4,7,6,100000,2,1,1,6,4
50,6,2,4,5,6,4,5,7,2,4,5,6,4,5,7,4,6,7,4,5,6,4,6,7,5,7,7,4,6,7,100000,2,1,2,5,4
95,6,2,2,7,7,2,7,7,2,2,7,7,1,7,7,1,7,7,4,7,7,7,7,7,1,7,7,1,7,7,100000,1,1,2,4,4
168,6,3,2,4,7,1,5,7,2,1,4,7,1,2,6,1,5,7,1,6,7,1,4,6,1,7,7,1,7,7,100000,1,1,2,3,5
175,6,2,2,6,6,7,1,1,2,1,5,7,1,5,7,1,7,7,4,1,7,5,6,7,1,7,7,1,7,7,100000,1,1,1,1,4
178,6,3,4,3,5,6,2,3,2,3,1,6,3,1,6,2,1,5,5,4,2,3,1,6,3,6,5,1,3,6,100000,2,1,2,3,4
329,6,2,4,3,2,5,5,5,1,2,4,4,3,4,4,7,2,2,5,4,4,3,5,5,4,7,7,1,7,7,100000,2,1,1,1,4
93,7,3,2,5,6,3,6,6,2,2,4,6,2,6,6,1,6,6,4,6,6,4,6,5,3,7,5,3,7,5,100000,1,1,2,4,4
37,8,3,3,5,7,3,6,6,2,4,6,7,1,5,6,1,6,7,4,7,6,1,5,5,2,7,6,1,7,6,100000,1,1,2,6,1
153,8,3,4,5,6,4,6,7,1,4,4,6,3,2,5,4,6,7,3,1,3,4,3,4,4,6,4,4,7,5,100000,2,1,2,3,4
162,8,2,7,4,1,3,7,7,2,4,1,7,1,7,1,1,7,1,4,1,4,7,4,1,7,1,4,7,7,1,100000,2,1,1,2,4
272,8,2,4,5,7,1,5,7,3,1,3,7,1,3,7,1,5,7,4,1,7,4,5,7,1,7,7,1,7,6,100000,2,1,2,2,4
280,8,3,3,4,3,4,3,4,2,5,4,3,4,5,3,2,3,2,3,4,4,5,4,5,2,3,2,4,6,5,100000,2,1,1,5,4
306,8,1,3,3,6,2,3,6,2,2,3,6,2,4,4,2,3,5,4,5,6,2,4,4,4,4,4,3,4,5,100000,2,1,1,5,4
58,9,2,2,5,7,2,7,7,2,2,4,7,1,7,7,1,7,7,4,1,7,7,7,7,4,7,7,1,7,7,100000,1,1,1,1,4
65,9,1,2,1,7,2,6,7,2,2,4,7,1,3,7,2,5,7,3,1,7,5,5,6,4,7,7,1,5,7,100000,1,1,2,5,4
185,9,3,5,3,7,2,3,6,1,2,2,5,2,2,5,1,5,7,3,1,7,1,6,6,1,7,6,2,6,5,100000,2,1,1,1,3
268,9,1,2,4,7,1,5,7,1,1,3,7,1,2,7,3,4,7,2,2,1,3,6,7,4,7,7,3,5,7,100000,2,1,1,2,4
270,9,2,6,4,4,7,3,4,2,1,4,7,1,4,7,2,5,7,2,6,7,1,7,7,2,7,7,1,7,7,100000,1,1,1,2,2
273,9,1,4,2,7,3,7,7,2,2,7,7,1,4,4,2,6,6,4,1,7,1,5,5,3,7,3,5,7,5,100000,2,1,1,3,4
38,10,2,7,4,2,3,4,6,1,3,3,6,2,3,7,1,1,5,4,2,7,6,5,7,2,7,7,2,7,7,100000,1,1,2,3,4
167,10,3,1,2,6,3,5,7,1,1,3,7,2,4,7,2,4,7,4,4,7,1,1,7,2,4,7,1,1,7,100000,2,1,1,6,4
288,10,1,3,3,5,3,4,6,2,3,4,6,4,4,6,4,5,6,3,6,7,4,4,4,7,7,7,4,7,7,100000,2,1,1,3,4
57,11,3,1,1,7,2,5,7,2,2,4,7,2,5,7,1,4,7,2,5,7,4,4,7,4,7,4,2,5,7,100000,2,1,1,5,4
44,13,3,3,3,5,3,5,5,1,4,5,5,4,5,5,3,5,6,4,1,7,4,5,5,3,7,7,4,7,7,100000,2,1,1,4,4
10,14,2,3,5,5,2,5,5,2,4,4,4,1,1,1,4,4,4,3,5,4,2,2,2,7,7,7,7,7,7,100000,2,1,2,5,4
35,15,3,2,1,7,1,5,7,1,4,4,7,1,4,7,2,4,7,4,1,7,4,4,7,4,7,7,1,7,7,100000,2,1,1,3,4
33,16,2,4,4,4,4,4,4,1,4,4,4,3,3,5,3,4,5,4,2,6,3,5,6,4,7,4,4,7,4,100000,2,1,1,7,4
256,22,2,1,4,7,1,7,7,2,1,5,7,1,7,7,1,7,7,4,1,1,1,7,7,7,7,7,1,7,7,100000,1,1,1,6,4
259,22,2,6,2,6,3,4,7,2,4,5,7,1,3,7,2,4,7,4,1,7,4,6,7,3,6,5,3,7,7,100000,2,1,1,2,2
27,23,1,6,2,4,6,2,3,1,3,2,5,5,1,4,5,2,5,2,2,4,2,3,5,3,5,5,3,5,5,100000,1,1,2,3,4
155,27,1,4,5,7,4,5,7,2,4,5,7,4,3,6,4,3,7,4,2,6,4,5,6,4,6,4,5,7,5,100000,2,1,1,3,4
150,88,2,1,4,7,7,1,1,2,1,4,7,1,4,7,1,7,7,4,1,7,7,7,7,7,7,7,1,7,7,100000,1,1,2,5,4
275,7,2,1,4,7,2,5,4,1,1,2,3,2,4,5,1,2,4,2,3,4,2,3,4,2,3,5,2,5,6,85000,1,1,2,2,4
172,6,1,2,4,7,3,4,6,1,3,3,5,2,4,7,4,5,7,2,4,7,3,4,7,7,7,7,6,7,6,80000,2,1,2,5,4
